lon,lat,,,,,
131.72293,33.2484,,,,, 
131.72297,33.24845,,,,, 
131.72299,33.24847,,,,, 
131.72302,33.2485,,,,, 
131.72308,33.24856,,,,, 
131.72311,33.2486,,,,, 
131.72314,33.24863,,,,, 
131.72317,33.24867,,,,, 
131.72319,33.24869,,,,, 
131.7232,33.24871,,,,, 
131.72322,33.24872,,,,, 
131.72323,33.24875,,,,, 
131.72325,33.24877,,,,, 
131.72326,33.24879,,,,, 
131.72326,33.24882,,,,, 
131.72329,33.24885,,,,, 
131.72332,33.2489,,,,, 
131.72335,33.24895,,,,, 
131.72338,33.24901,,,,, 
131.72369,33.2495,,,,, 
131.72373,33.24958,,,,, 
131.72422,33.25034,,,,, 
131.72436,33.25055,,,,, 
131.72456,33.25085,,,,, 
131.72467,33.25102,,,,, 
131.72477,33.25119,,,,, 
131.72483,33.25127,,,,, 
131.72488,33.25135,,,,, 
131.72494,33.25143,,,,, 
131.72499,33.2515,,,,, 
131.72505,33.25157,,,,, 
131.72509,33.25165,,,,, 
131.72518,33.2518,,,,, 
131.72523,33.25186,,,,, 
131.72528,33.25193,,,,, 
131.72531,33.25197,,,,, 
131.72535,33.25203,,,,, 
131.72535,33.25203,,,,, 
131.72535,33.25202,,,,, 
131.72535,33.25202,,,,, 
131.72535,33.25202,,,,, 
131.72535,33.25202,,,,, 
131.72535,33.25202,,,,, 
131.72538,33.25208,,,,, 
131.72538,33.25208,,,,, 
131.72543,33.25212,,,,, 
131.72554,33.2522,,,,, 
131.72572,33.2522,,,,, 
131.72712,33.25151,,,,, 
131.72726,33.25143,,,,, 
131.72775,33.25119,,,,, 
131.72792,33.25108,,,,, 
131.72843,33.25081,,,,, 
131.72863,33.25072,,,,, 
131.72882,33.25062,,,,, 
131.72901,33.25054,,,,, 
131.72938,33.25034,,,,, 
131.72956,33.25024,,,,, 
131.73014,33.24992,,,,, 
131.73075,33.24959,,,,, 
131.73098,33.24949,,,,, 
131.73118,33.24937,,,,, 
131.73118,33.24937,,,,, 
131.73141,33.24925,,,,, 
131.73164,33.24914,,,,, 
131.73184,33.24901,,,,, 
131.73205,33.2489,,,,, 
131.73226,33.24878,,,,, 
131.73248,33.24866,,,,, 
131.73271,33.24854,,,,, 
131.73294,33.24842,,,,, 
131.73316,33.24831,,,,, 
131.73362,33.24807,,,,, 
131.73385,33.24795,,,,, 
131.73478,33.24746,,,,, 
131.73526,33.24722,,,,, 
131.7355,33.2471,,,,, 
131.736,33.24689,,,,, 
131.736,33.24689,,,,, 
131.73626,33.24679,,,,, 
131.73678,33.24659,,,,, 
131.73706,33.24649,,,,, 
131.73731,33.2464,,,,, 
131.73783,33.2462,,,,, 
131.73809,33.2461,,,,, 
131.73835,33.24601,,,,, 
131.73884,33.24583,,,,, 
131.73908,33.24573,,,,, 
131.73931,33.24565,,,,, 
131.73956,33.24556,,,,, 
131.74002,33.24539,,,,, 
131.74024,33.24531,,,,, 
131.74047,33.24522,,,,, 
131.74069,33.24514,,,,, 
131.74111,33.24497,,,,, 
131.74134,33.24489,,,,, 
131.74156,33.24481,,,,, 
131.74177,33.24473,,,,, 
131.74218,33.24457,,,,, 
131.7424,33.24449,,,,, 
131.74261,33.24441,,,,, 
131.74282,33.24433,,,,, 
131.74304,33.24426,,,,, 
131.74325,33.24418,,,,, 
131.74345,33.2441,,,,, 
131.74366,33.24402,,,,, 
131.74386,33.24395,,,,, 
131.74407,33.24388,,,,, 
131.74427,33.2438,,,,, 
131.74447,33.24372,,,,, 
131.74468,33.24364,,,,, 
131.7449,33.24357,,,,, 
131.7451,33.24349,,,,, 
131.74551,33.24333,,,,, 
131.74613,33.2431,,,,, 
131.74635,33.24302,,,,, 
131.74656,33.24295,,,,, 
131.74676,33.24287,,,,, 
131.7472,33.24271,,,,, 
131.74742,33.24264,,,,, 
131.74786,33.2425,,,,, 
131.74829,33.24234,,,,, 
131.74851,33.24225,,,,, 
131.74873,33.24218,,,,, 
131.74873,33.24218,,,,, 
131.74896,33.2421,,,,, 
131.74919,33.24202,,,,, 
131.74964,33.24187,,,,, 
131.74989,33.24179,,,,, 
131.75036,33.24164,,,,, 
131.75061,33.24157,,,,, 
131.75108,33.24143,,,,, 
131.75132,33.24137,,,,, 
131.7518,33.24125,,,,, 
131.75202,33.24119,,,,, 
131.75225,33.24114,,,,, 
131.75405,33.24074,,,,, 
131.75424,33.24071,,,,, 
131.7544,33.24068,,,,, 
131.75494,33.24058,,,,, 
131.75512,33.24055,,,,, 
131.75532,33.24052,,,,, 
131.7555,33.24049,,,,, 
131.7557,33.24046,,,,, 
